,Title,Rating,Review,Date
16,Offering 3x 4x & 5x prices. WhAAAT?,1,Offering an original rate like $10-$12 but then offers rides for $20-$30-$40 while you wait to get confirmation for original rate. In 5-7 minutes the app just cancel ls the entire ride. Ordered lyft with no problems.,22-11-2020 23:18
17,Cancellations,2,"Uber has really been irritating me lately. I used Uber to get to work and other destinations of course. But I’ll order an Uber at a perfect time, to where I’m not late for work, but when I go to order the Uber the closest car would be about 10 mins away from me (which is perfect btw) but for some reason, I kept getting cars that were OVER 20 mins away (making me late for work). I just had this problem, I would cancel and cancel until I got a closer car, BUT THE SAME PERSON THAT WAS SUPER FAR KEPT ACCEPTING ME. I cancelled like 7 times (taking up my time) and I still couldn’t get away from that person. That is dangerous and Uber needs to change that. If you cancel on a person ATLEAST twice, then that car shouldn’t be an option for you anymore. I had to personally text that person to stop accepting me because they are too far. But once they stopped accepting me, well I got another Uber that was still over 20 mins away and I had to settle because all the cancelling was just wasting my time. Uber you should make it a priority for people to get the cars closer to them, and if there are none, then make the further cars available.",02-01-2021 23:09
18,Check this out’,1,Amazing app! But the fact that Uber drivers keep canceling my trip and making my trip a little longer isn’t a great way to start off the morning! Please and review with your drivers to not cancel the trips! And make sure not to go to the wrong direction! Thank you!,27-12-2020 11:31
19,False accusations of no masks,1,"I got a recent email threatening me with account deactivation for not wearing a mask in a recent Uber. This is false - I have worn masks in all my Uber rides since the pandemic began and there is no way to contest this charge. 

I appreciate ubers mask policy. I would not ride Uber if masks were not required. But users should
not be punished for drivers incorrect reports.",04-01-2021 03:11
20,0 Support,1,"If you’re thinking about downloading Uber or Lyft, do not pick Uber. They offer little to no support and it is impossible to get in contact with anyone. Their support email doesn’t work, even though their contact phone number specifically directs you to send and email and hangs up. They make it all to easy to sign up for Uber Pass accidentally just to hit you with $149 charge. I saw the 149 on my credit card statement after ordering an Uber in the middle of the day. Took me forever to figure out what happened. It also signs you up for automatic renewal of that subscription...I’ve been trying to contact them to dispute the charge but it has been a nightmare. Their blog say “24/7 phone support” ummmmm, where???",19-12-2020 21:21
21,Wait fee,1,"The Uber app showed like the guy was down the road yet and he was just waiting at the driveway then I got charged about a full dollar when I thought he wasn’t there yet,,, and I also don’t believe in the stupid mask policy,,,!",28-12-2020 10:34
22,Above,1,This app is so horrible,26-12-2020 12:08
23,Super stupid,2,Uber says no cars available.,19-01-2021 16:38
24,takes me and my drunk friends home very nicely,5,"whenever my friends and i go out we need rides home because we are very very lit by the end of the night, wether we are going home with with a random guy from the bar or going home crying in my best friends arms, uber always works and is very nice to have. love all my drivers xoxo",28-12-2020 00:17
25,Uber support,1,"I upgraded to an iPhone 12. Downloaded Uber app. Logged in. My family profile is not accessible. Ubers help is clear the day to settings / profiles and select family. I do not have a family option. I had to contact Uber through Twitter, who then told me my app version must be old when it was down loaded this morning. Very disappointed",19-12-2020 20:13
26,Playing with your time energy and money,1,"So I have been an Uber driver for years and have lost a lot of money due to financial misconduct performed by Ubers business with its contractors. I have also ordered Uber eats and ubers and have had double charges they mask as holds messing with our bank accounts. Some are actually going through as a double charge and then, them having to go and refund after it’s caught Causing us to miss out on or wait on our own money that’s not theirs to play with. If it’s not caught they gain more money off of us. I’ve had items missing and it’s not fair to have to wait 3-5 or even 1-3 business days for our money back or a correction when you didn’t have to wait all those days for our payment for the food or ride. Your system is not for the people. Just because your service is created for convenience it ends up being more of a burden when you all pick and choose when you want to be professional. Your a company servicing the ppl not your own individual entity servicing yourself. That’s what you do at home in your personal life. But if I create a company, It’s business and customers come first, not seeing how you can take their money by mentally tricking them through technology apps or various changes in your policies. Your 3rd party partnerships should be more in tact to where your all aware of the other and not one can mess with us consumers and displace blame on another causing us issues with our money. I am not your dog pig or test dummy. Your targeting needs to cease, It’s petty childish and really immature. There’s more to life you have the power to make it better but you all are abusing it.",23-12-2020 15:29
27,Come on,1,I swear it’s the worst when it’s come to Uber eat,15-12-2020 18:06
28,LAGS AND OVER CHARGES FOR NOTHING,1,"I currently have an issue regarding an over charge as the normal amount would be between $16-$19 from my home to work, yet I was over charged nearly $50 for only one ride/trip. Then charged me again the following morning when I haven’t even used it. I already spend nearly over $100 every week for rides and this has never happened to me before. I've been trying to find customer service on the app and online to no avail. If I can’t get this problem solved I’m going to have to get a claim done.",20-11-2020 20:24
29,Service,5,"I live in North Dakota, I need to buy stuff from people in Miami , and deliver those stuff in another address in Miami, the question will be, do you offer that kind of service? If so, could you please let me know how?",14-12-2020 16:09
30,Stop your push notifications your stupid promos pouting face ,1,"I don’t want to order food on you app, I don’t wanna order groceries on your app.  JUST STOP. 

Sick and tired of having on my home screen for no good reason.",14-01-2021 22:55
31,Uber has had a HUGE DECLINE,1,Uber used to be good in LA. Now it keeps asking us to confirm a higher price ride then cancels if we don’t accept it. Waste of time and money. Lyft all the way now!,27-11-2020 12:11
32,Transportation,3,"I rely on Uberas transportation to work. As good as they are, they have double charged, cancelled my ride as I wait for them. Many of the drivers do not know how to follow the GPS nor do they understand English",19-12-2020 15:46
33,Horrible Customer Service,1,I have requested to speak to customer service for several days now and I have not heard anything back from them nor is there any messages on the Uber app or Uber website. I canceled a ride within 2 1/2 minutes after requesting the ride. The driver did not get out of the city that they were in let alone make it to my city. From what I could see on the Uber app the driver did not drive more than 2 miles.I didn’t even see them pass a red light on a road that has an excessive amount of red lights. I was only supposed to be charge $16.76 for the trip but since I canceled the ride Uber canceled the $16.76 charge and instead I was charged an even $17!,17-01-2021 23:46
34,TECH ERROR POSED RISK,1,"Upon creating an account, I attempted to add a payment method; which failed consistently/was unable to process despite any card, bank account, or device used. I was STRANDED as I could not pay for a ride despite having money readily available- it continuously said unable to process.  I was forced to call for help from a friend who ordered one for me on their account. HOWEVER- when even attempting to reach customer service/Uber Help once I reached my safe location, no one answered (or has yet to answer) through the help service, the email, or the customer service Uber hotline AT ALL. Uber is dangerous and I made it clear (to the customer service agent that never answered in Uber Help) that I was taking my service to Lyft. If you are nervous about using Uber; save yourself time and go elsewhere without putting yourself at risk (especially if you need a ride when intoxicated). Additionally, I wanted to mention that I am a 20 year old woman (a fact that poses initial risk within itself).",17-12-2020 20:33
35,Not safe,1,Almost got kidnapped,09-12-2020 21:25
36,annoying,1,"so when you first download uber you can’t even log into an existing account, you have to create one.. as soon as it realizes the information you’re typing in is already linked with an account, it says “account already exists” and doesn’t let you click anything that says “log into existing account”. so i’m trying to figure out another way to login maybe seeing what it does when i use my facebook to log in instead.. nope it just says “you’ve opted out of receiving SMS notifications, to re-opt, text *specific word* to *specific number*”. and that’s exactly what i do. then i go back to the app and NOTHING happens, so i retry using my facebook now that i’ve enabled SMS.. and it says “sorry, too many requests” GIRL WHAT! i guess now i can’t use uber.",31-12-2020 14:32
37,above,3,i like uber i really do but lyft has better prices confused face ,19-01-2021 21:33
38,Someone will be dead before you get an Uber.,1,"Your policy is getting worse and worse! I’m so tired of it! Yesterday I ordered uber, waited 10min and the  driver just drove by without stopping and canceled the trip. I was supposed go see my friend who got into a huge car accident and now he is fighting for his life. I had to wait more time for another car and crying because I thought I’ll never see my friend again. Someone will really be dead sometimes before you get an Uber if your drivers will keep canceling rides upon your policy. 
Oh you know what? They gave me $7 for this issue. Wow. Thanks. 
From now on, I’m gonna rate every driver with one star until you change your policy. I don’t have a car and guess what? I use Uber 4-6 times almost every day. Let’s count it........
To be continued......",04-12-2020 17:59
39,Can’t login,1,Ever since they’ve done all these updates I cant even log in to my account. Customer service is a joke. I email back to back and get no response. The dumbest thing is that they took off the password option so now I have no way of accessing my account anymore since I changed my phone number. Not to mention that every time I put in my new number it never sends me the text with the code,07-01-2021 06:45
40,Uber is trash,1,"I’ve always had bad experiences, too much money and they always send me drivers that are 27 min away ? Like what’s the point if I have to wait half an hour for a driver. Uber is a joke try another app.",01-01-2021 04:25
41,Eats is racist,1,"If you like to avoid supporting racists, you should avoid this app. The UberEats integration has the race of the owner listed by some restaurants.",22-12-2020 18:54
42,Awesome app but bad technical support,3,"While the application is really awesome and helpful the developer’s team has to to do a better job in supporting the customers when there is a bug in the app. I have been messaging the Uber team for few weeks now informing them that there is a problem with the family profiles on iPhones and all what I get from them: we are working on it!! Last week I sent another message and the support team sent me the instructions on how to use the family profile!! When I sent them the previous conversations, they replied back that they have a problem!! You have just released a new update but no fix.",12-01-2021 04:50
43,Find a different service,1,"I can tell the customer isn’t the priority here. I won’t be using Uber eats or Uber again. Refund in the form of Uber cash - you got to be kidding. This is the second or third consecutive time my order has been past the “latest arrival time”. Had you all been able to refund my order, you would’ve retained a repeat business customer, and earned more than the worth of the refund over time. Uber, you’re not the only food service in town. Start treating people who use your services better.",19-01-2021 15:05
44,Not what it used to be.,1,"Scheduled a ride ahead of time for work, didn’t find out until less than 5 minutes of departure that there were no drivers in the area. Used to never have a problem getting a ride anywhere anytime, even if it cost more.",23-12-2020 21:23
45,Uber eats,1,I used uber eats and they robbed me 4 times I never received my money back and I never got the food.0/5 I do not recommend.,14-01-2021 00:27
46,Stop Trying To Trick Riders,1,"Uber has a new feature where, while you’re outside the app, you will get a notification saying “Your ride is now at a higher price. Open the app to accept,” and when you open the app they try to get you to agree to upgrade to an uber comfort or uber black. It’s a completely underhanded tactic.",28-12-2020 05:07
47,Pedro,1,This app is a waste of money use Lyft instead,01-01-2021 09:56
48,Consider Lyft,1,I don’t know why I use it when Lyft has more drivers. I have to wait 15 minutes for a driver every morning I’m in a rush.,21-12-2020 11:39
49,Pickup issues,1,This app has glitches and told my drivers to pick me up at addresses miles away,02-01-2021 11:57
50,Issue logging in,2,It does not provide a place for me to login my old account. Instead is keeps asking me to input my phone number and send me codes. But the codes aren’t correct can’t be recognized in app. Bad design.,23-12-2020 03:23
51,Not Satisfied to what it is becoming,1,"Uber is such a good app, however, it has saddened me to see that we have to pay an extra $4 to just bring our dog with us. Not even regular taxis are like that. It is crazy to see that Uber has changed a lot but for the worst, especially during this time. I have to pay $25 to just go to work when it’s usually 10-12 dollars. The reason to that is because of the weather which I feel like they shouldn’t even do that. Uber is literally full of scams and I’m upset that I’m realizing this now. I don’t even understand why are you adding an extra $4 to just bring our dog. And on top of that, we have to pay more due to the weather. I strongly don’t agree with the changes you guys have made. Literally, y’all don’t have sympathy to what has been going on in this world and the fact that you are increasing the price makes it even harder to live. It’s not fair, especially for a student who is still pay for his tuition..",18-12-2020 22:30
52,Overcharged & not reimbursed.,1,"I have used uber for years and am aware of surcharges. I wasn’t given any warning they’d charge me double, then they refunded 1/4th of the trip. Stealing your customers money isn’t a good look.",14-12-2020 15:27
53,Wait times,2,"Dude.. what is up with the wait times? I’m in Tulsa. It used to be so quick and easy to get an Uber. Now it takes 15-20 for a driver to get here when most drivers were usually 3-5 mins away.
I’ve heard you guys cut the drivers pay for the prime time hours or something? So now you’re scaring off the drivers? The lack of drivers is insane, I’ve never had a hard time getting an Uber before this.",10-01-2021 21:12
54,Unavailable,3,"Kinda left me stranded saying they can’t kind a car for me for over an hour , had to download lyft",12-01-2021 22:32
55,Most expensive ride sharing app,1,"I’ve been a reliable customer of Ubers since 2017. Lately, I can’t get a ride anywhere (I’m in LA). They say a ride is around the corner, but they’ll have to charge me 4x what the original price is if I want to accept it.... not cool. Lyft doesn’t do the same thing. Uber is only for the wealthy now, yeeesh",22-12-2020 20:48
56,Took my money,1,I ordered groceries and they took my money and never processed the order,28-12-2020 22:16
57,The worst customer service!!!!!!,1,See my review in Uber eats. I will not be using their ride sharing service either. F’ this company,07-12-2020 17:23
58,Worse Customer Support Ever,1,"These people are the worse. They make you wait 10 minutes for a ride, that is going further from you, then charge you a fee. The app never works when you need help with something. It feels like a scam. Idk how this got 4.7 stars. I’m glad other people have a good experience with this bs",18-11-2020 19:54
59,Worse Customer Support Ever,1,"These people are the worse. They make you wait 10 minutes for a ride, that is going further from you, then charge you a fee. The app never works when you need help with something. It feels like a scam. Idk how this got 4.7 stars. I’m glad other people have a good experience with this bs",18-11-2020 19:54
60,Worthless garbage,1,I’ve been burned by this app from the driving services to the food delivery that just doesn’t care enough to actually find your house but still marks your order as delivered anyways and so you got to go through the whole refund debacle and they don’t have a call center right now... of any kind? Garbage in comparison to Lyft and other resources such as Door Dash and Grub Hub,05-12-2020 02:01
61,"Uber is criminal componey, this componey abused driver, Uber is be gready get 90 % driver money.",1,Do not use Uber technology,15-12-2020 06:17
62,Uber pass,1,"Be careful!!! Uber will charge your card for a monthly subscription of $24.99, never notify you, and refuse to issue a refund when you discover you’ve been charged for this on a monthly basis! If 0 stars was an option that’s what they’d be getting. I’ll ride LYFT from now on",12-12-2020 12:51
63,Share uber locayion,1,I give them one star because what if a parent wants to send their son or daughter at the age of  17 in the  uber  their kid in the uber and the parents dont know if he or she is safe to their destination they are supposed to go while in uber  to thats why i give them one star because the share button is supposed to work in case of emergency,25-12-2020 23:33
64,A22Hole is operated ever.,1,I had more than 20 rides on uber and sexually harassed many times by female and male drivers. That sounds ridiculous. And some drivers was smelling alcohol.,21-11-2020 19:56
65,Issue after issue.,1,"The mapping of current location is wrong lots of times and when corrected manually it never sticks. Downloaded Lyft and it’s much better.  You can actually manually put where you are standing so that the driver comes to you.  Now trying to get my canx fees refunded back to me, because the drivers canx after waiting 1 min in a wrong location, has been a task.",01-01-2021 17:04
66,Unreliable,2,Extremely unreliable. They’ll say they have cars available and get you to book and then suddenly there’s none available when they charge your card. Still waiting on my charge to come back. Absolutely ridiculous,24-11-2020 18:40
67,It’s never going to be perfect,2,"Every ride has a 15-20 minute wait now, whether I’m only trying to take a ride down the street a few blocks or fifteen minutes away. It’s ridiculous. Drivers sit and don’t move and also don’t cancel so YOU have to cancel after waiting for them to even move towards your direction, and end up getting charged a fee. Now uber has also made it a pain to dispute a charge, and tries to prompt you to sign in through the desktop page and not just give you the options to choose what your issue was through the app. 
Annoying.",20-01-2021 07:59
68,Unreasonable,1,"Had a >4.7 rating and I got kicked off for basically no reason. Their customer service people don’t listen to you, they look at you like a number. Disgusting company with no sense of responsibility.",09-01-2021 02:49
69,Trash,1,Uber is garbage every time I request a ride they want to take mad long made me late to work over 20x drivers always cancel when they say they will be there In 10 mins they will actually be there in 20  terrible drivers after today I’m done with Uber,12-12-2020 18:53
70,Service Slipping,3,"I used to love Uber, now it’s never simple. It takes 3+ mins to even connect me to a driver every time and when I do finally get a driver EVERY time there is a significant price increase. I was riding from Long Beach to LAX and the price went from $30 to $90 when they connected me.",15-12-2020 12:21
71,"Never worth it, especially in NY",1,"Not easy, not inexpensive. If you get held up in traffic they will charge you for the pleasure. If you get dropped by multiple driver because of your destination they will do nothing to help you. This use to be a good service, but if you are ordering a car in New York, save yourself the time, money and frustration. Never again.",22-12-2020 23:22
72,Uber is a parasitic business,1,"Last month California voters passed Prop 22, safeguarding the right of gig economy companies to misclassify their workers as contractors and pay them sub-minimum wages, withhold benefits, evade payroll and unemployment taxes, etc.

Uber/Lyft spent $200m to secure that win.

As Prop 22's promoters remind us: Gig work is the new unemployment benefit: it's a private-sector jobs guarantee, work you can get at the tap of your screen. It's a perfect labor market – workers effectively bid to offer the best price to perform servant work for others.

The more workers there are, and the more desperate their situation is, the lower the payments go. A lot of those savings are siphoned off by the (money-losing, stock-soaring) gig companies, but some of it is passed onto customers.

This is by design.",21-11-2020 01:19
73,Poor security for Personal Info,1,Deleting based on Uber cyber security issues and new terms and conditions.,15-01-2021 15:38
74,Not what it used to be,1,"Not enough drivers, took forever get assigned a driver only to have that driver not move for 10 minutes and wouldn’t answer calls. Lhad to cancel causing us to be late to airport.",23-12-2020 06:03
75,Unreliable,1,No drivers,25-12-2020 20:30
76,Charged me for Uber pass,1,"I’ve liked Uber for years and never had a problem until they started charging me and my other family members for “Uber pass”. I have never purchased this pass, neither has anyone in my family, but it seems I have been charged for an Uber pass. This also happened to my mother and was hard to resolve. So if anyone downloads Uber I recommend checking your bank account regularly to make sure they don’t charge you, apparently this is common.",18-01-2021 09:07
77,Worst drivers,4,"I still left a 4 star cause it’s obviously not Uber’s fault, the drivers here just seem to be some of the worst, and have no patience, driver didn’t even wait, just left",24-12-2020 20:47
78,Poor,1,I issued a refund they couldn’t me they look over it,20-11-2020 06:39
79,Needs Fixed Interface,1,The interface for this app is miserable. I have tried many times now to add a payment method and it always glitches.,21-01-2021 02:14
80,Completely broken,1,"Ubers app is impossible to log into, i have been locked out of it since 2017 and have switched to lyft for that reason. I have heard similar experiences from others. Tried resetting the password multiple times and it still tells me its wrong. Literal garbage",20-11-2020 22:34
81,Getting over your skis uber,1,Getting way too complicated - easy to use was a cornerstone now it’s broken,10-12-2020 23:35
82,Horrible customer service,1,"I ordered a scheduled ride today for 5pm when I got off work. I had to lock the front door and walk around the building. It took me approximately 1.5 minutes to do so and as I was walking up behind the vehicle (LEHU32, “Ris”) drove away before 2 minutes had even passed. I got charged $5 for the ride and now I have no way home. I tried to wave the car down but he kept driving, ignoring my attempts. I am done with this company. He got his money and I have nothing to show for it. Somehow this driver has 4.9 stars, how? I am so infuriated by this process, I won’t be ordering anymore Ubers in the future.",05-01-2021 22:22
83,Far ubers,1,For whatever reason every morning uber keeps sending me ubers that are   Almost 20 minutes away do not use this app use lyft at-least they will send a ride that a reasonable amount of time away,12-01-2021 13:27
84,App Confusing,1,Horrible to use. Can’t even find ride types anywhere. Bad way to enter trip location,25-12-2020 15:22
85,Doing Too Much.,1,Why do they accept rides if they’re 25 minutes + away? People have things to do and places to go and drivers shouldn’t really be allowed to accept the ride if they’re still finishing one. Or at least inform us that they’re in the middle of finishing so WE can choose if we want to wait or not. Completely unnecessary smh.,09-01-2021 12:02
86,Ridiculous waiting times in Puerto Vallarta,1,"Only ride with Uber in Puerto Vallarta, Mexico, if you’re willing to wait for your ride for 15 minutes or risk your ride being cancelled after waiting for 10 minutes and then have the cancelation blamed and sometimes charged on you.
Worst service in Mexico I’ve have ever experienced... not even their Informal competitor (inDriver) is this unprofessional. 
Be prepared for spam on your phone with fake offers, promising up to 25% off... 
I now only use Uber when I’m truly offered a discount, have time to spare and as a last resort.
All of the above is what I have found after riding in Puerto Vallarta with Uber for a year... Now I prefer using their cheaper competitor. Why pay more for Uber and their inferior service?
Be well informed of your options when traveling to Puerto Vallarta in Mexico.",22-11-2020 05:32
87,Uber is garbage,1,Uber wouldn’t pick me up. Every driver kept cancelling and they’re garbage. #canceluber2020 !,05-12-2020 08:52
88,It doesn’t show my schedule rides,1,Help with the app,22-12-2020 06:26
89,I wanna my cash back,1,"Yesterday I contacted Uber service and I paid my ride automatically and until now the ride didn’t pick up me, this application is a sheet, hard to understand, and no service.pouting face pouting face pouting face pouting face pouting face ",04-01-2021 10:21
90,There is no way to talk to an actual human when you need help.,1,"I ordered from Uber eats of the Uber app. After getting my order several days later I went into my bank account and noticed that Uber charged me twice on two separate days for the same amount. My order was placed on December 31, the first transaction was on January 2, and the second transaction was on January 4. When trying to contact Uber to get my refund of at least one of the transactions. My help options were very limited in fact I couldn’t even find anywhere where it says contact us. I’ve never had any trouble with Uber or Uber eats before I don’t know what happened with this transaction. But the customer service is absolutely ridiculous. I still have not received a refund for one of the transactions that hit my bank account.",06-01-2021 19:41
91,Sad,1,"I tried for two hours to find an Uber and only two popped up and either of them took the ride they just waited for my request to time out there needs to be a penalty for this so they don’t do it anymore 
I get to spend my Christmas alone...",25-12-2020 05:06
92,Horrible.,1,"I have had Uber downloaded for a while now and every single time I’ve needed a ride the app stalls out and I have to try requesting a ride several times before having to delete the app and redownload it. I always start requesting my rides 45mins before I have to be somewhere and every single time I have been late to work though my place of work is not even a 5 minute drive from my house, standing outside for 30 minutes because my ride that was 22 mins away 40mins ago is now 35mins away and has sent me a text saying “sry. Trafic” it took my driver an hour and 15 minutes to reach me for a 6 minute trip before. Will be switching to Lyft.",05-01-2021 14:21
93,App glitch horrible customer service response time,1,I just bought $70 Uber cash all for it to tell me I can’t request a ride then I though that if I added a card on file that the problem would be resolved nope the app wouldn’t even allow me to add my debit card I’ve contacted Uber customer service through the app it’s been 24hrs without a response also let me add that they don’t even have a 1800 number so for an example you’re getting robbed by your driver or need to talk to a rep Immediately who are you going to call? Idk you’ll be better off calling ghost busters,19-12-2020 00:43
94,Terrible customer service,1,"I spend almost $10k/year with Uber. Literally take it everywhere. When I have an issue it can’t even be addressed because these agents on computer give the same generic answers, word for word. I have now explained my issue at least 20 times for me to be told I’m getting priority support, they then give me another generic response and end the case. NEVER ONCE ADDRESSING MY ACTUAL ISSUE. just go use Lyft at least they don’t try to charge you 3x the price",17-12-2020 19:00
95,Unsure about Uber,2,"I amen unable to drive due today fractured leg.
Called Uber to take me to a Doctor’s office for an appointment.
It was a to-way trip with Uber but with different drivers.
The first driver charged me less than the second driver by $4.00.
I don’t understand that since it was the EXACT same distance.
I can’t seem to get an answer from Uber.  But it really “ticked” me off!",11-12-2020 17:38
96,Awful Service,1,"Uber works beautifully but when you have a problem, absolutely forget about getting help. There is no humanly way to get ahold of a person. You get the pleasure of going through loop after loop with no help in sight. SO FRUSTRATING!!!!!",02-01-2021 16:29
97,I would definitely give 5 stars but.....,1,"I would give five stars no problem but there’s this thing with this app that after 12:00 at night it’s very hard to find a ride to short distances, then they try to change your ride total to a outrageous price a 8$ ride will go up to 21$ I think that’s absolutely insane honestly",10-01-2021 10:17
98,It's okay,2,It’s nice when you need a “quick” ride but lately the app has just been so bad. It crashes constantly and I keep getting drives that are so far out they call to ask me to cancel and then I’m late. I usually order my Uber’s 30 minutes before I need to be somewhere just so I’m not late and even then I’m late.,24-11-2020 20:52
99,Disgraceful Business,1,"I used Uber once over a year ago on a business trip. And about 2 months ago I found out they'd enrolled me in a reoccurring subscription 5 months after my trip, and charged my account 24.99 for months WITHOUT my consent. Never signed up for that at all because I never use the service. It is literally impossible to get ahold of any form of customer service, which I assume is by design. However after days of trying to figure it out I got ahold of them through Facebook (pathetic, right?). After trying to fight the charges and get a refund, they told me all they could do was cancel the service and give me a $30 voucher for their food service. Which I've never used and of course don't want to use. Do yourself a huge favor and use Lyft. Uber is a disgrace and I've read many others have had this same issue. They should be sued in a class-action lawsuit for this type of practice.",10-01-2021 01:09
100,Not good if you are legally blind,1,I have had several issues with Uber because of my eye sight.  This app is very difficult to see and impossible to find the new Uber pet feature.  I have had drivers cancel on me because I could not find their car.  My final straw was today when I tried taking my dog to the groomer but the driver would not take me and instead of canceling they just kept sending me more drivers until I would pay $5 to cancel.  I feel discriminated against and no one cares.  I am done with Uber.,05-12-2020 16:54
101,"Worst Service on Market, Pyramid Scheme",1,"Terrible wait times

They let drivers bid on riders and search for the highest paid rides leaving you standing for up to 30 minutes at a time watching drivers decline offers left and right 

The app will try to offer you ride up to 80% more expensive the original offer. 

Drivers have terrible attitudes and jaded Opinions and wield too much power with what rides they can decline. Leaving customers stranded.

I have lived with plenty of these drivers. Wether they are a husband or wife or 20 something. They do nothing but sit around their houses, this is an easy Job. Do not let the political campaigns and the bout between the drivers and the company fool you. These are glorified taxi drivers working for a multi million dollar company headed by snakes. 

Do not trust them with your information. And do not waste your time relying on their service.",25-12-2020 04:15
102,Don’t remember thier names-concussion,5,Very nice and respectful and helped me to figure out how to get there. Sounds simple but when you have a concussion it’s very hard to remember where you’re going and each driver was so kind!,08-12-2020 11:18
103,Fraudulent Chargers,1,I was chartered over $100 over a two day time period for rides I never took. My bank reversed the chargers thankfully but I was forced to change my card number because Uber kept adding more charges.,21-12-2020 21:27
104,It rejects my payment method,1,Bad app rejects my gift card payment method,02-01-2021 19:33
105,Worst gig app to work for,1,Dont use uber or work for uber. Spent the past 5 years driving for them and its like working for a company that hates you. No help terrible driver support.,08-01-2021 22:05
106,Over charged or falls charge,1,"Simply put any charges  which we hv never used 
Worst customer service",19-11-2020 16:16
107,These people are not Americans.,1,Uber sent me an email about how they want drivers to snitch on passengers and passengers to snitch on drivers like we are in some kind of World War II German government about having panties on your face. We don’t do that kind of crap here in America. Uber you are fired I am now using other companies that are 100% American. My network of pilots use to use Uber several times a day they are now losing lots of money because they sent threat emails to my company pilots.,20-12-2020 23:25
108,Rides are way to expensive,1,"My Uber driver was sick while driving, he kept coughing during the COVID-19 Pandemic",22-12-2020 09:08
109,Drivers are cheapskates !!,1,"This is the first time I have got out of my way to write a review because it’s so unbelievable that not even this pandemic are prices OR PEOPLE more reasonable. The worst thing is that I have been late to my job so many times because none of the drivers will take me . It’s always because they want to charge me 30-40$ to take me somewhere that is literally 10 minutes away ?? And if not , the driver is 15-20 minutes away from me. Sometimes if I’m unlucky enough , the Uber cancels after I’ve been waiting forever to arrive . Please find a way to terminate their greedy issue. Some of us can’t afford expensive Uber’s during this pandemic and don’t have nearby transportation methods",28-12-2020 16:06
110,Disappointed,2,"Uber is a good app for rides, but sometimes the prices be way to high. I work 10 mins away and it’s $25 every morning now, usually it’s $8 - $10.. so i started using lyft :)",05-01-2021 16:57
111,Depletes battery too quickly on iPhone 12 Pro,3,This app depletes my battery faster than my phone can charge. Whether it’s plugged in or not. This is the only app that does this.,21-01-2021 01:51
